investor,txn_id,type,client_id,trade_date,settlement_date,quantity,price,total_consideration,currency,portfolio,holding_class,expense_type
Investor 2,tx189,FundsIn,,2021-01-04T08:00:00Z,2021-01-06T08:00:00Z,"24,976.53",1,"24,976.53",GBP,generalPartnership,Offset,Capital Markets Fee
Investor 3,tx190,FundsIn,,2021-01-04T08:00:00Z,2021-01-06T08:00:00Z,"5,572.05",1,"5,572.05",GBP,generalPartnership,Offset,Capital Markets Fee
Investor 1,tx191,FundsIn,,2021-01-04T08:00:00Z,2021-01-06T08:00:00Z,"9,942.34",1,"9,942.34",GBP,generalPartnership,Offset,Organization Costs
Investor 2,tx192,FundsIn,,2021-01-04T08:00:00Z,2021-01-06T08:00:00Z,"7,637.21",1,"7,637.21",GBP,generalPartnership,Offset,Organization Costs
Investor 3,tx193,FundsIn,,2021-01-04T08:00:00Z,2021-01-06T08:00:00Z,"5,778.35",1,"5,778.35",GBP,generalPartnership,Offset,Organization Costs
Investor 1,tx194,FundsIn,,2021-01-04T08:00:00Z,2021-01-06T08:00:00Z,"1,217.57",1,"1,217.57",GBP,generalPartnership,Offset,Placement Fee
Investor 2,tx195,FundsIn,,2021-01-04T08:00:00Z,2021-01-06T08:00:00Z,496.09,1,496.09,GBP,generalPartnership,Offset,Placement Fee
Investor 3,tx196,FundsIn,,2021-01-04T08:00:00Z,2021-01-06T08:00:00Z,688.72,1,688.72,GBP,generalPartnership,Offset,Placement Fee
Investor 1,tx197,FundsIn,,2021-01-04T08:00:00Z,2021-01-06T08:00:00Z,291.56,1,291.56,GBP,generalPartnership,Offset,Other
Investor 2,tx198,FundsIn,,2021-01-04T08:00:00Z,2021-01-06T08:00:00Z,300.01,1,300.01,GBP,generalPartnership,Offset,Other
Investor 3,tx199,FundsIn,,2021-01-04T08:00:00Z,2021-01-06T08:00:00Z,822.21,1,822.21,GBP,generalPartnership,Offset,Other
Investor 1,tx200,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"1,328.81",1,"1,328.81",GBP,generalPartnership,Management Fee,Rebate
Investor 2,tx201,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"1,960.42",1,"1,960.42",GBP,generalPartnership,Management Fee,Rebate
Investor 3,tx202,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,353.14,1,353.14,GBP,generalPartnership,Management Fee,Rebate
Investor 1,tx203,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,815.04,1,815.04,GBP,generalPartnership,Partnership Expense,"Accounting, Administration & IT"
Investor 2,tx204,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,668.6,1,668.6,GBP,generalPartnership,Partnership Expense,"Accounting, Administration & IT"
Investor 3,tx205,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"2,215.15",1,"2,215.15",GBP,generalPartnership,Partnership Expense,"Accounting, Administration & IT"
Investor 1,tx206,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"2,837.18",1,"2,837.18",GBP,generalPartnership,Partnership Expense,Audit & Tax Prepatory
Investor 2,tx207,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"3,218.19",1,"3,218.19",GBP,generalPartnership,Partnership Expense,Audit & Tax Prepatory
Investor 3,tx208,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"2,166.20",1,"2,166.20",GBP,generalPartnership,Partnership Expense,Audit & Tax Prepatory
Investor 1,tx209,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,695.66,1,695.66,GBP,generalPartnership,Partnership Expense,Bank Fees
Investor 2,tx210,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"3,712.87",1,"3,712.87",GBP,generalPartnership,Partnership Expense,Bank Fees
Investor 3,tx211,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,505.87,1,505.87,GBP,generalPartnership,Partnership Expense,Bank Fees
Investor 1,tx212,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"8,713.66",1,"8,713.66",GBP,generalPartnership,Partnership Expense,Custody Fees
Investor 2,tx213,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"10,013.33",1,"10,013.33",GBP,generalPartnership,Partnership Expense,Custody Fees
Investor 3,tx214,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"21,070.11",1,"21,070.11",GBP,generalPartnership,Partnership Expense,Custody Fees
Investor 1,tx215,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"8,935.05",1,"8,935.05",GBP,generalPartnership,Partnership Expense,Due Diligence
Investor 2,tx216,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"17,363.36",1,"17,363.36",GBP,generalPartnership,Partnership Expense,Due Diligence
Investor 3,tx217,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"22,870.81",1,"22,870.81",GBP,generalPartnership,Partnership Expense,Due Diligence
Investor 1,tx218,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"14,573.25",1,"14,573.25",GBP,generalPartnership,Partnership Expense,Legal
Investor 2,tx219,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"8,405.05",1,"8,405.05",GBP,generalPartnership,Partnership Expense,Legal
Investor 3,tx220,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"20,534.84",1,"20,534.84",GBP,generalPartnership,Partnership Expense,Legal
Investor 1,tx221,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"8,656.97",1,"8,656.97",GBP,generalPartnership,Partnership Expense,Organization Costs
Investor 2,tx222,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"8,923.94",1,"8,923.94",GBP,generalPartnership,Partnership Expense,Organization Costs
Investor 3,tx223,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"32,506.98",1,"32,506.98",GBP,generalPartnership,Partnership Expense,Organization Costs
Investor 1,tx224,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,830.64,1,830.64,GBP,generalPartnership,Partnership Expense,Other Travel & Entertainment
Investor 2,tx225,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"4,692.99",1,"4,692.99",GBP,generalPartnership,Partnership Expense,Other Travel & Entertainment
Investor 3,tx226,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"8,284.41",1,"8,284.41",GBP,generalPartnership,Partnership Expense,Other Travel & Entertainment
Investor 1,tx227,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,441.38,1,441.38,GBP,generalPartnership,Partnership Expense,Other
Investor 2,tx228,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,315.37,1,315.37,GBP,generalPartnership,Partnership Expense,Other
Investor 3,tx229,FundsOut,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,731.7,1,731.7,GBP,generalPartnership,Partnership Expense,Other
Investor 1,tx230,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"22,485.51",1,"22,485.51",GBP,generalPartnership,Offset,Advisory Fee
Investor 2,tx231,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"9,683.15",1,"9,683.15",GBP,generalPartnership,Offset,Advisory Fee
Investor 3,tx232,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"20,700.11",1,"20,700.11",GBP,generalPartnership,Offset,Advisory Fee
Investor 1,tx233,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"10,241.81",1,"10,241.81",GBP,generalPartnership,Offset,Broken Deal Fee
Investor 2,tx234,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"4,618.82",1,"4,618.82",GBP,generalPartnership,Offset,Broken Deal Fee
Investor 3,tx235,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"8,398.75",1,"8,398.75",GBP,generalPartnership,Offset,Broken Deal Fee
Investor 1,tx236,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"4,412.44",1,"4,412.44",GBP,generalPartnership,Offset,Transaction & Deal Fee
Investor 2,tx237,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"2,953.29",1,"2,953.29",GBP,generalPartnership,Offset,Transaction & Deal Fee
Investor 3,tx238,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"4,978.43",1,"4,978.43",GBP,generalPartnership,Offset,Transaction & Deal Fee
Investor 1,tx239,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,771.18,1,771.18,GBP,generalPartnership,Offset,Directors Fee
Investor 2,tx240,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"1,099.22",1,"1,099.22",GBP,generalPartnership,Offset,Directors Fee
Investor 3,tx241,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"1,621.47",1,"1,621.47",GBP,generalPartnership,Offset,Directors Fee
Investor 1,tx242,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"31,609.18",1,"31,609.18",GBP,generalPartnership,Offset,Monitoring Fee
Investor 2,tx243,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"23,927.17",1,"23,927.17",GBP,generalPartnership,Offset,Monitoring Fee
Investor 3,tx244,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"42,256.64",1,"42,256.64",GBP,generalPartnership,Offset,Monitoring Fee
Investor 1,tx245,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"16,557.58",1,"16,557.58",GBP,generalPartnership,Offset,Capital Markets Fee
Investor 2,tx246,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"24,976.53",1,"24,976.53",GBP,generalPartnership,Offset,Capital Markets Fee
Investor 3,tx247,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"5,572.05",1,"5,572.05",GBP,generalPartnership,Offset,Capital Markets Fee
Investor 1,tx248,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"9,942.34",1,"9,942.34",GBP,generalPartnership,Offset,Organization Costs
Investor 2,tx249,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"7,637.21",1,"7,637.21",GBP,generalPartnership,Offset,Organization Costs
Investor 3,tx250,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"5,778.35",1,"5,778.35",GBP,generalPartnership,Offset,Organization Costs
Investor 1,tx251,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,"1,217.57",1,"1,217.57",GBP,generalPartnership,Offset,Placement Fee
Investor 2,tx252,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,496.09,1,496.09,GBP,generalPartnership,Offset,Placement Fee
Investor 3,tx253,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,688.72,1,688.72,GBP,generalPartnership,Offset,Placement Fee
Investor 1,tx254,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,291.56,1,291.56,GBP,generalPartnership,Offset,Other
Investor 2,tx255,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,300.01,1,300.01,GBP,generalPartnership,Offset,Other
Investor 3,tx256,FundsIn,,2022-06-01T08:00:00Z,2022-06-03T08:00:00Z,822.21,1,822.21,GBP,generalPartnership,Offset,Other
