DisplayName,DeiIdNumber,Figi,TotalDeiScore,BoardDeiScore,ExecutiveDeiScore,GenderDeiScore,PctDistributionOfCaucasianExecutives
RAYTHEON TECHNOLOGIES CORPORATION,1553049,US75513E1010,47.47,43.59,41.62,38.86,0.8235
REALTY INCOME CORPORATION,392752,US7561091049,49.14,49.76,56.64,69.14,1
REGENCY CENTERS CORPORATION,488338,US7588491032,42.07,41.17,35.92,42.28,0.9804
"REGENERON PHARMACEUTICALS, INC,",681510,US75886F1075,50.34,42.36,40.07,48.14,0.931
REGIONS FINANCIAL CORPORATION,1335042,US7591EP1005,51.4,39.24,42.07,47.57,0.9091
"REPUBLIC SERVICES, INC,",1094006,US7607591002,54.14,48.44,51.35,59.09,0.9
"ResMed Inc,",282359,US7611521078,45.58,41.17,38.11,44.46,0.7692
"Robert Half International Inc,",1600166,US7703231032,48.02,35.14,39.1,54.2,0.9375
"ROCKWELL AUTOMATION, INC,",1326100,US7739031091,47.14,44.17,24.96,32.21,0.9412
"Rollins, Inc,",1147896,US7757111049,42.95,27.65,27.45,26,1
"ROPER TECHNOLOGIES, INC,",321572,US7766961061,34.57,40.31,21.45,20,1
"Ross Stores, Inc,",1376425,US7782961038,47.01,46.94,34.1,44.57,1
"ROYAL CARIBBEAN CRUISES LTD,",1098435,LR0008862868,43.2,34,24.45,28.03,0.9167
"S&P GLOBAL INC,",1103097,US78409V1044,53.95,52.67,44.43,56.09,0.9
"SALESFORCE,COM, INC,",1335306,US79466L3024,55.76,43.97,50.5,55.19,0.8571
SBA Communications Corporation,709194,US78410G1040,33.35,27.5,6.47,30.84,1
"SCHLUMBERGER N,V,",1434689,AN8068571086,49.94,42.5,50.34,41.25,0.8
SEALED AIR CORPORATION,1330546,US81211K1007,45.23,44.25,34.8,35.98,0.9091
SEMPRA ENERGY,1327040,US8168511090,56.71,50.87,52.05,57.79,0.7778
"SERVICENOW, INC,",601464,US81762P1021,46.54,33.96,40,45.7,0.9091
"SIMON PROPERTY GROUP INC,",698125,US8288061091,38.11,31.43,19.41,38.95,1
"Sirius XM Holdings Inc,",218712,US82968B1035,31.73,29.79,36.45,33.86,1
"Skyworks Solutions, Inc,",208199,US83088M1027,34.75,29.45,25.09,21.11,0.7778
SNAP-ON INCORPORATED,1550901,US8330341012,37.28,34.4,30.63,30.09,0.9211
"SOUTHWEST AIRLINES CO,",1351398,US8447411088,42.93,43.42,39.96,45.81,1
"SPLUNK INC,",651136,US8486371045,40.31,39.31,25.38,43.78,1
"STANLEY BLACK & DECKER, INC,",1167330,US8545021011,45.17,41.28,42.13,36.85,0.8214
STARBUCKS CORPORATION,1092491,US8552441094,59.4,54.35,62.51,76.02,0.8
STATE STREET CORPORATION,346232,US8574771031,48.5,46.02,40.54,49.69,0.9577
STRYKER CORPORATION,1024128,US8636671013,55.54,51.59,44.67,58.63,0.9444
SVB Financial Group,1151273,US78486Q1013,44.2,42.31,23.57,53.65,1
SYNCHRONY FINANCIAL,213990,US87165B1035,48.2,48.16,35.25,42.58,0.9375
"SYNOPSYS, INC,",1337675,US8716071076,50.34,44.25,34.37,42.78,0.5294
SYSCO CORPORATION,364298,US8718291078,45.8,27.52,61.29,43.9,0.8824
"T, ROWE PRICE GROUP, INC,",465265,US74144T1088,39.38,40.48,22,44.88,0.9333
"Take-Two Interactive Software, Inc,",1542637,US8740541094,24,33.16,9.45,15,1
Target Corporation,122649,US87612E1064,52.1,51.77,54.04,61.24,0.8182
TELEFLEX INCORPORATED,1352663,US8793691069,43.39,38.78,30.9,27.25,0.9677
"TESLA, INC,",396082,US88160R1014,48.19,45.25,37.5,20.25,1
TEXAS INSTRUMENTS INCORPORATED,1329553,US8825081040,46.01,36.67,29.47,49.17,0.8667
"TEXTRON INC,",46600,US8832031012,45.55,46.68,39.07,39.72,1
THE AES CORPORATION,1556870,US00130H1059,52.22,62.6,41.1,49.98,0.4545
THE ALLSTATE CORPORATION,1090339,US0200021014,54.74,47.04,43.15,51.19,0.8125
THE AMERICAN EXPRESS COMPANY,1335791,US0258161092,54.8,45.57,48.29,59.11,0.8421
THE BANK OF NEW YORK MELLON CORPORATION,1329362,US0640581007,45.88,39.4,36.68,56.72,0.7647
THE BOEING COMPANY,1355649,US0970231058,54.43,47.04,45.22,49.14,0.6667
THE CHARLES SCHWAB CORPORATION,677701,US8085131055,38.19,41.67,36.38,45.03,0.9444
THE CLOROX COMPANY,366963,US1890541097,58.31,54.2,61.18,66.65,0.8
THE COCA-COLA COMPANY,1353389,US1912161007,61.38,57.95,56.26,78.38,0.55
"THE COOPER COMPANIES, INC,",1337652,US2166484020,48.24,54.39,33.03,51.29,1
"THE GOLDMAN SACHS GROUP, INC,",1070989,US38141G1040,50.08,60.49,43.02,52.9,1
"THE HARTFORD FINANCIAL SERVICES GROUP, INC,",1554764,US4165151048,49.57,53.78,46.77,67.46,1
THE HERSHEY COMPANY,82232,US4278661081,51.72,57.17,42,64.27,1
"THE HOME DEPOT, INC,",1338641,US4370761029,36.85,20,30.34,37.57,0.8966
"THE INTERPUBLIC GROUP OF COMPANIES, INC,",1682979,US4606901001,44.45,55.64,38.18,49.28,0.8421
"THE J, M, SMUCKER COMPANY",554364,US8326964058,50.16,49.23,51.57,51.82,1
The Kraft Heinz Company,1742169,US5007541064,41.41,22.27,53.92,40.82,0.8182
"THE KROGER CO,",839161,US5010441013,49.79,50,22,41.27,1
THE MOSAIC COMPANY,1557633,US61945C1036,40.42,41,36.25,34.78,1
"THE PNC FINANCIAL SERVICES GROUP, INC,",1544573,US6934751057,61.58,41.72,54.72,67.26,0.7692
THE PROCTER & GAMBLE COMPANY,718391,US7427181091,59.34,70.36,53.52,55.85,0.7714
The Progressive Corporation,557859,US7433151039,60,53.91,47.5,50.61,0.8333
THE SHERWIN-WILLIAMS COMPANY,1353595,US8243481061,48.97,43.92,36.1,43.49,1
THE SOUTHERN COMPANY,1693621,US8425871071,45.48,49.19,28.16,32.6,0.8333
"THE TJX COMPANIES, INC,",1354538,US8725401090,52.43,59.8,27.43,54.58,1
"The Travelers Companies, Inc,",671275,US89417E1091,56.41,50.62,37.5,40.58,0.9583
THE WESTERN UNION COMPANY,1524646,US9598021098,46.64,18.33,52.77,38.91,0.5
"THE WILLIAMS COMPANIES, INC,",1333947,US9694571004,42.03,44.46,30.55,35.52,1
"THERMO FISHER SCIENTIFIC INC,",1550635,US8835561023,40.43,35.83,32.76,30.6,0.8636
"T-MOBILE US, INC,",1600840,US8725901040,39.17,13.74,30.5,15.56,0.8889
Trane Technologies PLC,1742376,IE00BK9ZQ967,57.27,67.3,44.37,47.75,0.9375
"Transdigm Inc,,",1176141,US8936411003,29.8,16.95,32.47,21.15,1
Truist Financial Corporation,1143620,US89832Q1094,49.59,48.56,29.32,44.32,0.8571
"TWITTER, INC,",1099041,US90184L1026,57.62,54.15,58.06,56.17,0.6364
"TYSON FOODS, INC,",1329649,US9024941034,51.2,44.64,42.69,38.68,0.9231
"U,S, BANCORP",1097439,US9029733048,59.55,62.23,39.65,58.27,0.7857
"UDR, INC,",1325116,US9026531049,47.16,43.42,40.67,49.59,1
"Ulta Beauty, Inc,",507300,US90384S3031,41.51,44,36.67,48.38,1
UNION PACIFIC CORPORATION,665588,US9078181081,37.41,30,26.17,35.79,0.8
"UNITED PARCEL SERVICE, INC,",1334442,US9113121068,61.04,60.86,45,51.03,0.9167
UNITEDHEALTH GROUP INCORPORATED,1696021,US91324P1021,54.28,53.4,50,56.64,0.8947
"Universal Health Services, Inc,",957809,US9139031002,42.87,45.45,23.3,34.77,1
"V,F, CORPORATION",1334583,US9182041080,46.94,48.2,40.25,43.63,1
VALERO ENERGY CORPORATION,1187736,US91913Y1001,34.7,27.5,14.67,32.03,0.9333
"VENTAS, INC,",1092302,US92276F1003,48.61,53.69,37.1,56.64,0.9375
"VERISIGN, INC,",1340350,US92343E1029,43.14,40.28,32.56,29.35,1
"Verisk Analytics, Inc,",828157,US92345Y1064,53.16,40,56.45,67.6,0.6923
"VERIZON COMMUNICATIONS INC,",1556866,US92343V1044,55.85,56.19,42.56,70.14,0.75
VERTEX PHARMACEUTICALS INCORPORATED,528521,US92532F1003,51.76,44,40.53,68.51,0.8947
"VIACOMCBS INC,",308257,US92556H2067,56.34,58.52,41.93,57.56,0.9167
"VISA INC,",1084286,US92826C8394,46.18,36.67,39.29,54.45,0.9286
"VORNADO REALTY L,P,",404088,US9290421091,35.75,37.17,14.67,36.78,1
VULCAN MATERIALS COMPANY,1376497,US9291601097,44.58,41.17,35.92,42.28,1
"W, R, BERKLEY CORPORATION",1350463,US0844231029,46.88,44.28,37.96,56.2,1
"W,W, GRAINGER, INC,",952920,US3848021040,55.54,47.6,51.15,55.27,0.7778
"WALGREENS BOOTS ALLIANCE, INC,",72873,US9314271084,52.45,45.83,49.35,61.05,0.6875
"WALMART INC,",1098292,US9311421039,55.19,39.43,52.21,59.15,0.8125
"WASTE MANAGEMENT, INC,",1188241,US94106L1098,53.33,49,53.05,50.86,0.8889
WATERS CORPORATION,365800,US9418481035,47.7,31.39,49.35,49.54,1
"WELLTOWER INC,",1329447,US95040Q1040,52.52,63.03,53.22,50.23,0.7647
"WEST PHARMACEUTICAL SERVICES, INC,",1578520,US9553061055,44.89,43.42,48.45,44.71,0.7
WESTERN DIGITAL CORPORATION,362918,US9581021055,53.87,62.04,31.6,50.48,1
Weyerhaeuser Company,377480,US9621661043,37.26,49.17,42.21,43.15,1
WHIRLPOOL CORPORATION,1328183,US9633201069,38.16,39.4,25.38,44.07,0.9231
WILLIS TOWERS WATSON PLC,388554,IE00BDB6Q211,66.33,66.52,55.8,56.67,1
"WYNN RESORTS, LIMITED",776604,US9831341071,52.42,50.69,53.3,65.39,0.9
"Xcel Energy Inc,",1339755,US98389B1008,51.08,40.1,49.35,49.72,0.9375
"XILINX, INC,",621988,US9839191015,53.33,41.88,37.5,34.64,0.5
"XYLEM INC,",644276,US98419M1009,45.81,44.64,33.95,35.74,0.8462
"YUM! Brands, Inc,",854730,US9884981013,52.35,52.29,29.83,48.45,0.7333
ZEBRA TECHNOLOGIES CORPORATION,1331382,US9892071054,48.09,38.5,24,22,0.9
"ZIMMER BIOMET HOLDINGS, INC,",1555810,US98956P1021,51.98,50.38,56.37,48.68,0.9333
"ZOETIS INC,",357439,US98978V1035,51.49,37,54.95,55.58,0.7
